"","time","Statistics","value","Type","log_value"
"160",1.2,"X75.",0.579126187642238,"Kernel",-0.546234884494588
"161",1.4,"X75.",0.576920414039772,"Kernel",-0.550050952594319
"162",1.6,"X75.",0.57158177908148,"Kernel",-0.559347710478805
"163",1.8,"X75.",0.56759186018181,"Kernel",-0.566352674564036
"164",2,"X75.",0.566060303612329,"Kernel",-0.569054662969628
"165",2.2,"X75.",0.564919981595993,"Kernel",-0.57107118335935
"166",2.4,"X75.",0.563494783966638,"Kernel",-0.57359720203736
"167",2.6,"X75.",0.560794141863889,"Kernel",-0.578401389350752
"168",2.8,"X75.",0.559232861987144,"Kernel",-0.581189323717764
"169",3,"X75.",0.558645693425082,"Kernel",-0.582239828914804
"170",3.2,"X75.",0.556474129217377,"Kernel",-0.586134597725634
"171",3.4,"X75.",0.55527336253083,"Kernel",-0.58829474139563
"172",3.6,"X75.",0.554859465995747,"Kernel",-0.589040411721964
"173",3.8,"X75.",0.553588689841314,"Kernel",-0.591333305087315
"174",4,"X75.",0.551459488065805,"Kernel",-0.595186900709658
"175",4.2,"X75.",0.550528947826198,"Kernel",-0.596875739594844
"176",4.4,"X75.",0.548699374429473,"Kernel",-0.600204575013588
"177",4.6,"X75.",0.548851378882783,"Kernel",-0.599927586539344
"178",4.8,"X75.",0.545408104491232,"Kernel",-0.606220948961156
"179",5,"X75.",0.543145795552543,"Kernel",-0.610377494991137
"180",5.2,"X75.",0.545096952084968,"Kernel",-0.606791606406222
"181",5.4,"X75.",0.54332618433047,"Kernel",-0.610045431609983
"182",5.6,"X75.",0.544404365850822,"Kernel",-0.60806298867265
"183",5.8,"X75.",0.543992413313209,"Kernel",-0.608819978338867
"184",6,"X75.",0.546129634557564,"Kernel",-0.604898905488703
"185",6.2,"X75.",0.543285570284512,"Kernel",-0.610120185165343
"186",6.4,"X75.",0.544495235287028,"Kernel",-0.60789608726811
"187",6.6,"X75.",0.546830370404174,"Kernel",-0.603616633604201
"188",6.8,"X75.",0.546670289312,"Kernel",-0.603909420063715
"189",7,"X75.",0.54505196026751,"Kernel",-0.606874148923071
"190",7.2,"X75.",0.546370185132127,"Kernel",-0.604458538224352
"191",7.4,"X75.",0.546715376903535,"Kernel",-0.603826946709704
"192",7.6,"X75.",0.553833271242925,"Kernel",-0.59089159196588
"193",7.8,"X75.",0.560413451020566,"Kernel",-0.579080462272427
"194",8,"X75.",0.561931136038078,"Kernel",-0.576375970336393
"195",8.2,"X75.",0.567846187704808,"Kernel",-0.565904693227276
"196",8.4,"X75.",0.570482736662085,"Kernel",-0.561272370151723
"197",8.6,"X75.",0.573787547691414,"Kernel",-0.555496077149241
"198",8.8,"X75.",0.578609906008206,"Kernel",-0.547126765936459
"199",9,"X75.",0.585635236358827,"Kernel",-0.535058146767482
"200",9.2,"X75.",0.595979880631834,"Kernel",-0.517548369815716
"201",9.4,"X75.",0.605137428699755,"Kernel",-0.502299691871431
"202",9.6,"X75.",0.616929765760482,"Kernel",-0.483000093386745
"203",9.8,"X75.",0.63786464196275,"Kernel",-0.449629178079443
"204",10,"X75.",0.664468857537424,"Kernel",-0.408767267935473
"205",0,"true.hr",0.5,"Kernel",-0.693147180559945
"206",0.2,"true.hr",0.5,"Kernel",-0.693147180559945
"207",0.4,"true.hr",0.5,"Kernel",-0.693147180559945
"208",0.6,"true.hr",0.5,"Kernel",-0.693147180559945
"209",0.8,"true.hr",0.5,"Kernel",-0.693147180559945
"210",1,"true.hr",0.5,"Kernel",-0.693147180559945
"211",1.2,"true.hr",0.5,"Kernel",-0.693147180559945
"212",1.4,"true.hr",0.5,"Kernel",-0.693147180559945
"213",1.6,"true.hr",0.5,"Kernel",-0.693147180559945
"214",1.8,"true.hr",0.5,"Kernel",-0.693147180559945
"215",2,"true.hr",0.5,"Kernel",-0.693147180559945
"216",2.2,"true.hr",0.5,"Kernel",-0.693147180559945
"217",2.4,"true.hr",0.5,"Kernel",-0.693147180559945
"218",2.6,"true.hr",0.5,"Kernel",-0.693147180559945
