time,mean.kernel,mean.cox,true.HR,SE.kernel,SE.cox,mean.cox.con,SE.cox.con,bias.kernel,bias.cox,bias.cox.con,r.bias.kernel,r.bias.cox,r.bias.cox.con,MSE.cox,MSE.kernel,IQR.simulations.cox,IQR.simulations.kernel,old.mean.kernel
2,0.425746348,0.47439284,0.5,92.96960873,0.079977426,0.848793222,0.032178728,-0.074253652,-0.02560716,0.348793222,-14.8507304,-5.121432081,69.75864445,0.00703868,8648.98476,0.107549479,0.151094793,5.288417787
2.2,0.425405785,0.468669728,0.5,90.08818188,0.080342735,0.848793222,0.032178728,-0.074594215,-0.031330272,0.348793222,-14.918843,-6.266054355,69.75864445,0.007422663,8121.384823,0.107413989,0.152032656,5.162786081
2.4,0.426252545,0.463456858,0.5,86.80352086,0.080698409,0.848793222,0.032178728,-0.073747455,-0.036543142,0.348793222,-14.749491,-7.308628394,69.75864445,0.007833289,7540.147927,0.107666791,0.155727122,5.01350122
2.6,0.427496706,0.458672542,0.5,85.81312444,0.080983374,0.848793222,0.032178728,-0.072503294,-0.041327458,0.348793222,-14.5006588,-8.265491501,69.75864445,0.008251456,7369.015178,0.107598384,0.154823928,4.955980094
2.8,0.428573652,0.454229642,0.5,84.84119146,0.08122903,0.848793222,0.032178728,-0.071426348,-0.045770358,0.348793222,-14.2852696,-9.15407163,69.75864445,0.008677805,7202.881681,0.107253946,0.15801956,4.888031677
3,0.429107344,0.45014056,0.5,84.19911565,0.081474653,0.848793222,0.032178728,-0.070892656,-0.04985944,0.348793222,-14.1785312,-9.971887925,69.75864445,0.009108336,7094.027882,0.107539954,0.15581433,4.82669909
3.2,0.429200722,0.446335006,0.5,83.34888393,0.081690322,0.848793222,0.032178728,-0.070799278,-0.053664994,0.348793222,-14.1598556,-10.73299887,69.75864445,0.00953703,6951.386701,0.108056884,0.157004066,4.7718464
3.4,0.429262791,0.442734702,0.5,81.54464428,0.081872318,0.848793222,0.032178728,-0.070737209,-0.057265298,0.348793222,-14.1474418,-11.45305955,69.75864445,0.009965722,6653.628484,0.107950138,0.1543356,4.671645939
3.6,0.429350044,0.439369284,0.5,79.97124763,0.082046301,0.848793222,0.032178728,-0.070649956,-0.060630716,0.348793222,-14.1299912,-12.12614317,69.75864445,0.010390557,6399.270918,0.107816354,0.159905778,4.582296145
3.8,0.429909769,0.436248272,0.5,79.1856535,0.082187619,0.848793222,0.032178728,-0.070090231,-0.063751728,0.348793222,-14.0180462,-12.75034568,69.75864445,0.010801531,6274.116245,0.108536957,0.160284014,4.536459822
4,0.430255872,0.433265973,0.5,78.50254274,0.08232162,0.848793222,0.032178728,-0.069744128,-0.066734027,0.348793222,-13.9488256,-13.34680537,69.75864445,0.01121229,6166.354722,0.108628684,0.162084527,4.504311337
4.2,0.430497501,0.430453769,0.5,78.74349466,0.082467266,0.848793222,0.032178728,-0.069502499,-0.069546231,0.348793222,-13.9004998,-13.9092461,69.75864445,0.011619108,6204.189982,0.108896489,0.161029987,4.507088518
4.4,0.43105067,0.427733012,0.5,78.71744696,0.082616555,0.848793222,0.032178728,-0.06894933,-0.072266988,0.348793222,-13.789866,-14.45339761,69.75864445,0.012029158,6200.005323,0.108603453,0.164081657,4.495661243
4.6,0.431808176,0.425184556,0.5,79.58050563,0.082717351,0.848793222,0.032178728,-0.068191824,-0.074815444,0.348793222,-13.6383648,-14.96308889,69.75864445,0.012420248,6336.635599,0.108750934,0.162503738,4.530932312
4.8,0.432582742,0.422802209,0.5,81.51387946,0.08283034,0.848793222,0.032178728,-0.067417258,-0.077197791,0.348793222,-13.4834516,-15.43955816,69.75864445,0.012800703,6648.224797,0.109115958,0.162415532,4.623710646
5,0.433610907,0.420484397,0.5,84.23993606,0.082897514,0.848793222,0.032178728,-0.066389093,-0.079515603,0.348793222,-13.2778186,-15.90312051,69.75864445,0.013174682,7100.494471,0.108735984,0.163927902,4.780713182
5.2,0.434988815,0.418271778,0.5,87.3511922,0.083012292,0.848793222,0.032178728,-0.065011185,-0.081728222,0.348793222,-13.002237,-16.34564439,69.75864445,0.013550102,7634.810478,0.109330353,0.169004669,4.954743613
5.4,0.435921217,0.416153564,0.5,89.36902753,0.083099526,0.848793222,0.032178728,-0.064078783,-0.083846436,0.348793222,-12.8157566,-16.76928718,69.75864445,0.013914935,7991.655634,0.109687161,0.172075022,5.061910893
5.6,0.435995513,0.414134597,0.5,90.61269637,0.083208337,0.848793222,0.032178728,-0.064004487,-0.085865403,0.348793222,-12.8008974,-17.17308063,69.75864445,0.014275296,8215.664859,0.109407835,0.170917376,5.129302414
5.8,0.435717788,0.412143078,0.5,90.30511462,0.083260593,0.848793222,0.032178728,-0.064282212,-0.087856922,0.348793222,-12.8564424,-17.5713844,69.75864445,0.014629603,8159.976027,0.109969799,0.170847818,5.112731355
6,0.435012867,0.410261147,0.5,90.35608106,0.083337378,0.848793222,0.032178728,-0.064987133,-0.089738853,0.348793222,-12.9974266,-17.94777069,69.75864445,0.014976259,8169.200942,0.109873345,0.167972684,5.116598314
6.2,0.434466839,0.408419252,0.5,89.91713132,0.083401193,0.848793222,0.032178728,-0.065533161,-0.091580748,0.348793222,-13.1066322,-18.31614966,69.75864445,0.015320516,8089.985638,0.109978394,0.16675244,5.090229822
6.4,0.434339029,0.406643986,0.5,89.5076427,0.083446243,0.848793222,0.032178728,-0.065660971,-0.093356014,0.348793222,-13.1321942,-18.67120284,69.75864445,0.015656002,8016.341886,0.109862836,0.16442652,5.055408159
6.6,0.434387876,0.404928659,0.5,88.75751831,0.083507516,0.848793222,0.032178728,-0.065612124,-0.095071341,0.348793222,-13.1224248,-19.0142682,69.75864445,0.015989102,7882.323633,0.110599095,0.166978296,4.992971873
6.8,0.435707333,0.403267542,0.5,88.46688312,0.083573948,0.848793222,0.032178728,-0.064292667,-0.096732458,0.348793222,-12.8585334,-19.3464916,69.75864445,0.01631847,7830.535605,0.110253044,0.170202397,4.95006977
7,0.436293458,0.401648267,0.5,87.67434788,0.083661292,0.848793222,0.032178728,-0.063706542,-0.098351733,0.348793222,-12.7413084,-19.67034658,69.75864445,0.016648627,7690.495776,0.111125994,0.173200645,4.86827044
7.2,0.438077655,0.400118872,0.5,87.08232766,0.083719084,0.848793222,0.032178728,-0.061922345,-0.099881128,0.348793222,-12.384469,-19.97622564,69.75864445,0.016961155,7586.562803,0.111199332,0.180680281,4.789627854
7.4,0.440812384,0.398658629,0.5,86.37420154,0.083775915,0.848793222,0.032178728,-0.059187616,-0.101341371,0.348793222,-11.8375232,-20.26827429,69.75864445,0.017264195,7463.208889,0.110805968,0.184126122,4.698798448
7.6,0.443258956,0.397225232,0.5,85.90266129,0.083822082,0.848793222,0.032178728,-0.056741044,-0.102774768,0.348793222,-11.3482088,-20.55495369,69.75864445,0.017564204,7381.452393,0.110708426,0.189615939,4.616539184
7.8,0.44558136,0.39584234,0.5,84.30559842,0.083874391,0.848793222,0.032178728,-0.05441864,-0.10415766,0.348793222,-10.883728,-20.83153196,69.75864445,0.017858838,7109.488373,0.110701227,0.193163946,4.533778707
8,0.447740646,0.394480544,0.5,81.89097925,0.083921367,0.848793222,0.032178728,-0.052259354,-0.105519456,0.348793222,-10.4518708,-21.10389125,69.75864445,0.018151957,6708.012212,0.110355103,0.194714099,4.410738328
8.2,0.449766408,0.393147373,0.5,78.31018328,0.083961676,0.848793222,0.032178728,-0.050233592,-0.106852627,0.348793222,-10.0467184,-21.37052531,69.75864445,0.018441556,6133.851977,0.111036254,0.210138547,4.192358126
8.4,0.451430271,0.391847683,0.5,76.11403851,0.084002977,0.848793222,0.032178728,-0.048569729,-0.108152317,0.348793222,-9.7139458,-21.6304634,69.75864445,0.01872764,5794.942255,0.111032122,0.216386458,4.130934672
8.6,0.454320474,0.390584933,0.5,76.18345847,0.084014015,0.848793222,0.032178728,-0.045679526,-0.109415067,0.348793222,-9.1359052,-21.88301334,69.75864445,0.019003949,5806.169626,0.110744208,0.218139926,4.222951896
8.8,0.455794163,0.389390328,0.5,76.91261977,0.084036979,0.848793222,0.032178728,-0.044205837,-0.110609672,0.348793222,-8.8411674,-22.12193441,69.75864445,0.019270381,5918.148173,0.11023739,0.217311932,4.298788251
9,0.457194628,0.388222983,0.5,80.05287953,0.084082391,0.848793222,0.032178728,-0.042805372,-0.111777017,0.348793222,-8.5610744,-22.35540337,69.75864445,0.019537343,6411.451372,0.110481299,0.22291764,4.475898168
9.2,0.458324957,0.387078369,0.5,86.65260323,0.084102979,0.848793222,0.032178728,-0.041675043,-0.112921631,0.348793222,-8.3350086,-22.58432622,69.75864445,0.019797735,7512.073597,0.11025442,0.22626684,4.791934031
9.4,0.462674524,0.385941373,0.5,94.81121305,0.084121104,0.848793222,0.032178728,-0.037325476,-0.114058627,0.348793222,-7.4650952,-22.81172543,69.75864445,0.020058596,8993.030293,0.110240301,0.234465736,5.174009952
9.6,0.471688795,0.384813355,0.5,103.8687297,0.084168539,0.848793222,0.032178728,-0.028311205,-0.115186645,0.348793222,-5.662241,-23.0373291,69.75864445,0.020324897,10793.19485,0.110196584,0.250983928,5.605265591
9.8,0.489942711,0.383734427,0.5,108.3579287,0.084202717,0.848793222,0.032178728,-0.010057289,-0.116265573,0.348793222,-2.0114578,-23.25311465,69.75864445,0.020580111,11746.46756,0.110389344,0.291579157,5.839921794
10,0.574021735,0.382661807,0.5,100.852323,0.084224226,0.848793222,0.032178728,0.074021735,-0.117338193,0.348793222,14.804347,-23.46763864,69.75864445,0.020834044,10176.53344,0.110497876,0.370771408,5.586737388
