"","time","Statistics","value","Type","log_value"
"85",6.6,"median.HR",0.523490453743346,"Kernel",-0.647236484285098
"86",6.8,"median.HR",0.523412327668339,"Kernel",-0.647385736109699
"87",7,"median.HR",0.522436466581413,"Kernel",-0.649251897595946
"88",7.2,"median.HR",0.522234022152607,"Kernel",-0.649639473264109
"89",7.4,"median.HR",0.523321483587698,"Kernel",-0.647559312390301
"90",7.6,"median.HR",0.522819316010916,"Kernel",-0.648519350686377
"91",7.8,"median.HR",0.523601422887345,"Kernel",-0.647024527441786
"92",8,"median.HR",0.523095875106787,"Kernel",-0.647990514114033
"93",8.2,"median.HR",0.52208349143216,"Kernel",-0.649927758617043
"94",8.4,"median.HR",0.520385967547338,"Kernel",-0.65318449745112
"95",8.6,"median.HR",0.52245337889087,"Kernel",-0.649219526127257
"96",8.8,"median.HR",0.518778143596615,"Kernel",-0.656278956192489
"97",9,"median.HR",0.519227593817661,"Kernel",-0.655412968206229
"98",9.2,"median.HR",0.517814606337612,"Kernel",-0.658138003608299
"99",9.4,"median.HR",0.51737353038491,"Kernel",-0.658990169439313
"100",9.6,"median.HR",0.516034096632854,"Kernel",-0.661582436937836
"101",9.8,"median.HR",0.51460698700057,"Kernel",-0.66435180168961
"102",10,"median.HR",0.515817121779087,"Kernel",-0.662002991477277
"103",0,"X25.",0.460431926062838,"Kernel",-0.775590260353467
"104",0.2,"X25.",0.465910008806576,"Kernel",-0.763762777654408
"105",0.4,"X25.",0.469604010634397,"Kernel",-0.755865469971508
"106",0.6,"X25.",0.472450243278981,"Kernel",-0.749822842822995
"107",0.8,"X25.",0.475588075301421,"Kernel",-0.743203187437326
"108",1,"X25.",0.477346403385518,"Kernel",-0.739512839110278
"109",1.2,"X25.",0.478756240481247,"Kernel",-0.736563703624461
"110",1.4,"X25.",0.480352133999444,"Kernel",-0.733235831543474
"111",1.6,"X25.",0.481316475043987,"Kernel",-0.731230272957677
"112",1.8,"X25.",0.48366564243712,"Kernel",-0.726361432403476
"113",2,"X25.",0.484902368559518,"Kernel",-0.723807710247748
"114",2.2,"X25.",0.486349734275645,"Kernel",-0.720827296031297
"115",2.4,"X25.",0.487610072261374,"Kernel",-0.718239224776693
"116",2.6,"X25.",0.488431748465325,"Kernel",-0.716555533810566
"117",2.8,"X25.",0.488962939936841,"Kernel",-0.715468579829502
"118",3,"X25.",0.489411571310955,"Kernel",-0.714551484381082
"119",3.2,"X25.",0.489721390873669,"Kernel",-0.713918639639826
"120",3.4,"X25.",0.489980982473061,"Kernel",-0.71338869991011
"121",3.6,"X25.",0.491677808154167,"Kernel",-0.709931638480533
"122",3.8,"X25.",0.490750541249966,"Kernel",-0.711819342922525
"123",4,"X25.",0.490653459495177,"Kernel",-0.712017185513409
"124",4.2,"X25.",0.491428132818659,"Kernel",-0.710439570190575
"125",4.4,"X25.",0.490864731215274,"Kernel",-0.711586685650321
"126",4.6,"X25.",0.490916969195635,"Kernel",-0.711480270995437
"127",4.8,"X25.",0.491175304489453,"Kernel",-0.7109541792896
"128",5,"X25.",0.490905094373005,"Kernel",-0.711504460353309
"129",5.2,"X25.",0.489750612013619,"Kernel",-0.713858972513308
"130",5.4,"X25.",0.490307769796449,"Kernel",-0.712721983425325
"131",5.6,"X25.",0.489892853782368,"Kernel",-0.713568577538575
"132",5.8,"X25.",0.489919384342626,"Kernel",-0.713514423162395
"133",6,"X25.",0.490458553068694,"Kernel",-0.712414502897257
"134",6.2,"X25.",0.489930437140258,"Kernel",-0.713491862975335
"135",6.4,"X25.",0.489680831726164,"Kernel",-0.714001463931199
"136",6.6,"X25.",0.488714802107608,"Kernel",-0.715976186423966
"137",6.8,"X25.",0.486990027032059,"Kernel",-0.719511634482828
"138",7,"X25.",0.487073972078253,"Kernel",-0.719339274049675
"139",7.2,"X25.",0.487068038039037,"Kernel",-0.719351457158821
"140",7.4,"X25.",0.484981500097913,"Kernel",-0.723644532900174
"141",7.6,"X25.",0.483004672129194,"Kernel",-0.727728952231019
"142",7.8,"X25.",0.482647127689061,"Kernel",-0.728469476831169
"143",8,"X25.",0.479527965890419,"Kernel",-0.734953063334508
"144",8.2,"X25.",0.479143479742103,"Kernel",-0.735755186253018
"145",8.4,"X25.",0.477730873193653,"Kernel",-0.738707731841304
"146",8.6,"X25.",0.475813314852262,"Kernel",-0.742729697368086
"147",8.8,"X25.",0.473433676377258,"Kernel",-0.747743447175824
"148",9,"X25.",0.46537907011256,"Kernel",-0.76490300095039
"149",9.2,"X25.",0.459684018292333,"Kernel",-0.777215942290206
"150",9.4,"X25.",0.453691318103722,"Kernel",-0.790338228259644
"151",9.6,"X25.",0.446962170592444,"Kernel",-0.805281317496955
"152",9.8,"X25.",0.435155896342391,"Kernel",-0.832050929700784
"153",10,"X25.",0.417999858780781,"Kernel",-0.872274184302459
"154",0,"X75.",0.570868510314697,"Kernel",-0.560596375503584
"155",0.2,"X75.",0.562486632869646,"Kernel",-0.575387908973222
"156",0.4,"X75.",0.554665723099413,"Kernel",-0.589389647413425
"157",0.6,"X75.",0.55198737605266,"Kernel",-0.594230102436371
"158",0.8,"X75.",0.548446095284135,"Kernel",-0.600666280697709
"159",1,"X75.",0.546142289882916,"Kernel",-0.604875733007438
"160",1.2,"X75.",0.545194524798855,"Kernel",-0.606612621765479
"161",1.4,"X75.",0.544543935555164,"Kernel",-0.607806650139543
"162",1.6,"X75.",0.542168283793367,"Kernel",-0.612178839029883
"163",1.8,"X75.",0.543776727859583,"Kernel",-0.609216543103005
"164",2,"X75.",0.545015149911958,"Kernel",-0.606941686701658
"165",2.2,"X75.",0.546626886280607,"Kernel",-0.603988818478685
"166",2.4,"X75.",0.54889379281865,"Kernel",-0.599850311891309
"167",2.6,"X75.",0.549656238309729,"Kernel",-0.59846221741787
"168",2.8,"X75.",0.550879694793057,"Kernel",-0.596238833427335
"169",3,"X75.",0.552729573631613,"Kernel",-0.592886414008607
"170",3.2,"X75.",0.554574172656878,"Kernel",-0.589554716201688
"171",3.4,"X75.",0.55590750741833,"Kernel",-0.587153352133998
"172",3.6,"X75.",0.558195962214223,"Kernel",-0.583045191488623
"173",3.8,"X75.",0.559236489928657,"Kernel",-0.581182836384862
"174",4,"X75.",0.559880514422318,"Kernel",-0.580031885121944
"175",4.2,"X75.",0.561160064070579,"Kernel",-0.57774909495633
"176",4.4,"X75.",0.55979670326655,"Kernel",-0.580181591045403
"177",4.6,"X75.",0.558819609407763,"Kernel",-0.581928560218327
"178",4.8,"X75.",0.560356266231388,"Kernel",-0.579182507836913
"179",5,"X75.",0.559748708007726,"Kernel",-0.580267331665425
"180",5.2,"X75.",0.559582702661551,"Kernel",-0.580563946851616
"181",5.4,"X75.",0.559077636315628,"Kernel",-0.581466931185008
"182",5.6,"X75.",0.557396125851675,"Kernel",-0.584479114350127
"183",5.8,"X75.",0.558435118026775,"Kernel",-0.5826168390624
"184",6,"X75.",0.559536336644358,"Kernel",-0.580646808487583
"185",6.2,"X75.",0.558553490851978,"Kernel",-0.582404889137924
"186",6.4,"X75.",0.559284189940619,"Kernel",-0.581097545137504
"187",6.6,"X75.",0.560182868154024,"Kernel",-0.579491998283836
"188",6.8,"X75.",0.559272550813662,"Kernel",-0.581118356110312
"189",7,"X75.",0.559788689123266,"Kernel",-0.580195907315227
"190",7.2,"X75.",0.5590067609356,"Kernel",-0.58159371120322
"191",7.4,"X75.",0.559985227498601,"Kernel",-0.57984487506767
"192",7.6,"X75.",0.562221780614982,"Kernel",-0.575858879504577
"193",7.8,"X75.",0.562822604955517,"Kernel",-0.574790789382337
"194",8,"X75.",0.563427369425103,"Kernel",-0.573716845690496
"195",8.2,"X75.",0.564227121315005,"Kernel",-0.572298411177871
"196",8.4,"X75.",0.567183611206613,"Kernel",-0.567072198387213
"197",8.6,"X75.",0.568414087892033,"Kernel",-0.564905097893868
"198",8.8,"X75.",0.57508287372094,"Kernel",-0.553241120359929
"199",9,"X75.",0.57776864608711,"Kernel",-0.548581756722969
"200",9.2,"X75.",0.583127247816272,"Kernel",-0.53934985261193
"201",9.4,"X75.",0.590119354998068,"Kernel",-0.527430465934676
"202",9.6,"X75.",0.606983149859657,"Kernel",-0.499254248011971
"203",9.8,"X75.",0.62546784246593,"Kernel",-0.46925536132253
"204",10,"X75.",0.654285293549746,"Kernel",-0.424211793975667
"205",0,"true.hr",0.5,"Kernel",-0.693147180559945
"206",0.2,"true.hr",0.5,"Kernel",-0.693147180559945
"207",0.4,"true.hr",0.5,"Kernel",-0.693147180559945
"208",0.6,"true.hr",0.5,"Kernel",-0.693147180559945
"209",0.8,"true.hr",0.5,"Kernel",-0.693147180559945
"210",1,"true.hr",0.5,"Kernel",-0.693147180559945
"211",1.2,"true.hr",0.5,"Kernel",-0.693147180559945
"212",1.4,"true.hr",0.5,"Kernel",-0.693147180559945
"213",1.6,"true.hr",0.5,"Kernel",-0.693147180559945
"214",1.8,"true.hr",0.5,"Kernel",-0.693147180559945
"215",2,"true.hr",0.5,"Kernel",-0.693147180559945
"216",2.2,"true.hr",0.5,"Kernel",-0.693147180559945
"217",2.4,"true.hr",0.5,"Kernel",-0.693147180559945
"218",2.6,"true.hr",0.5,"Kernel",-0.693147180559945
"219",2.8,"true.hr",0.5,"Kernel",-0.693147180559945
"220",3,"true.hr",0.5,"Kernel",-0.693147180559945
"221",3.2,"true.hr",0.5,"Kernel",-0.693147180559945
"222",3.4,"true.hr",0.5,"Kernel",-0.693147180559945
"223",3.6,"true.hr",0.5,"Kernel",-0.693147180559945
"224",3.8,"true.hr",0.5,"Kernel",-0.693147180559945
"225",4,"true.hr",0.5,"Kernel",-0.693147180559945
"226",4.2,"true.hr",0.5,"Kernel",-0.693147180559945
"227",4.4,"true.hr",0.5,"Kernel",-0.693147180559945
"228",4.6,"true.hr",0.5,"Kernel",-0.693147180559945
"229",4.8,"true.hr",0.5,"Kernel",-0.693147180559945
"230",5,"true.hr",0.5,"Kernel",-0.693147180559945
"231",5.2,"true.hr",0.5,"Kernel",-0.693147180559945
"232",5.4,"true.hr",0.5,"Kernel",-0.693147180559945
"233",5.6,"true.hr",0.5,"Kernel",-0.693147180559945
"234",5.8,"true.hr",0.5,"Kernel",-0.693147180559945
"235",6,"true.hr",0.5,"Kernel",-0.693147180559945
"236",6.2,"true.hr",0.5,"Kernel",-0.693147180559945
"237",6.4,"true.hr",0.5,"Kernel",-0.693147180559945
"238",6.6,"true.hr",0.5,"Kernel",-0.693147180559945
"239",6.8,"true.hr",0.5,"Kernel",-0.693147180559945
"240",7,"true.hr",0.5,"Kernel",-0.693147180559945
"241",7.2,"true.hr",0.5,"Kernel",-0.693147180559945
"242",7.4,"true.hr",0.5,"Kernel",-0.693147180559945
"243",7.6,"true.hr",0.5,"Kernel",-0.693147180559945
"244",7.8,"true.hr",0.5,"Kernel",-0.693147180559945
"245",8,"true.hr",0.5,"Kernel",-0.693147180559945
"246",8.2,"true.hr",0.5,"Kernel",-0.693147180559945
"247",8.4,"true.hr",0.5,"Kernel",-0.693147180559945
"248",8.6,"true.hr",0.5,"Kernel",-0.693147180559945
"249",8.8,"true.hr",0.5,"Kernel",-0.693147180559945
"250",9,"true.hr",0.5,"Kernel",-0.693147180559945
"251",9.2,"true.hr",0.5,"Kernel",-0.693147180559945
"252",9.4,"true.hr",0.5,"Kernel",-0.693147180559945
"253",9.6,"true.hr",0.5,"Kernel",-0.693147180559945
"254",9.8,"true.hr",0.5,"Kernel",-0.693147180559945
"255",10,"true.hr",0.5,"Kernel",-0.693147180559945
