"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","mean.cox.con","SE.cox.con","bias.kernel","bias.cox","bias.cox.con","r.bias.kernel","r.bias.cox","r.bias.cox.con","MSE.cox","MSE.kernel","IQR.simulations.cox","IQR.simulations.kernel"
3.6,0.500228971981945,0.517722555120294,0.5,0.0747848606936597,0.0621474155015592,0.575959178610468,0.0570561500055234,0.000228971981944603,0.0177225551202939,0.0759591786104682,0.0457943963889207,3.54451102405877,15.1918357220936,0.00416835955270906,0.00558165338836127,0.0814231736943615,0.0966252841911354
3.8,0.499918051896517,0.514986030097314,0.5,0.074152295607038,0.0623811552757492,0.575959178610468,0.0570561500055234,-8.19481034829983e-05,0.0149860300973138,0.0759591786104682,-0.0163896206965997,2.99720601946276,15.1918357220936,0.00410799023284834,0.00548758351282859,0.0813285132928899,0.0965882787175856
4,0.499517540626136,0.512266963618355,0.5,0.0732777203057176,0.0624899593515451,0.575959178610468,0.0570561500055234,-0.000482459373863653,0.0122669636183549,0.0759591786104682,-0.0964918747727306,2.45339272367098,15.1918357220936,0.0040475209002518,0.00535912830764955,0.081418137640516,0.0958573075177287
4.2,0.499092989505646,0.50957568087769,0.5,0.0723698903402041,0.0626458937117229,0.575959178610468,0.0570561500055234,-0.000907010494353988,0.00957568087769001,0.0759591786104682,-0.181402098870798,1.915136175538,15.1918357220936,0.00400826888632656,0.00522775853632586,0.0810403514088783,0.0966158056498014
4.4,0.498699391181097,0.506930673727046,0.5,0.0715460090640063,0.0627861464628399,0.575959178610468,0.0570561500055234,-0.00130060881890343,0.00693067372704559,0.0759591786104682,-0.260121763780685,1.38613474540912,15.1918357220936,0.00398221011566062,0.00511029387100268,0.081685796932186,0.0947856940311598
4.6,0.49823676903417,0.504386569444498,0.5,0.0710697495555547,0.0629511566975389,0.575959178610468,0.0570561500055234,-0.0017632309658302,0.00438656944449822,0.0759591786104682,-0.35264619316604,0.877313888899645,15.1918357220936,0.00397415311980015,0.00504392345257367,0.0823584591764458,0.0932757456677802
4.8,0.497672888433099,0.501827912444044,0.5,0.0707958325077643,0.0630989137639114,0.575959178610468,0.0570561500055234,-0.00232711156690091,0.00182791244404368,0.0759591786104682,-0.465422313380182,0.365582488808736,15.1918357220936,0.00397685585331711,0.0050074458529588,0.0822873131303133,0.0917512361532359
5,0.496911961364019,0.499315561599341,0.5,0.0707839722405986,0.0632264856936922,0.575959178610468,0.0570561500055234,-0.00308803863598112,-0.000684438400658516,0.0759591786104682,-0.617607727196223,-0.136887680131703,15.1918357220936,0.00399006929131447,0.00500988645159739,0.0821103478910601,0.0904428440544403
5.2,0.496106484446493,0.496797468023769,0.5,0.0710816202905675,0.0633416074672743,0.575959178610468,0.0570561500055234,-0.00389351555350737,-0.00320253197623138,0.0759591786104682,-0.778703110701473,-0.640506395246276,15.1918357220936,0.00401438889946104,0.00505764596379089,0.0816883771747767,0.092100406781243
5.4,0.495291679878473,0.494341019503471,0.5,0.0717687481400917,0.0635317666086202,0.575959178610468,0.0570561500055234,-0.00470832012152744,-0.00565898049652885,0.0759591786104682,-0.941664024305489,-1.13179609930577,15.1918357220936,0.0040602129303735,0.00516260812662647,0.0826274963943574,0.091265860564792
