time,mean.kernel,mean.cox,true.HR,SE.kernel,SE.cox,mean.cox.con,SE.cox.con,bias.kernel,bias.cox,bias.cox.con,r.bias.kernel,r.bias.cox,r.bias.cox.con,MSE.cox,MSE.kernel,ABSE,CI.coverage.percent,mean.cIL.kernel,mean.cIU.kernel,mean.B.q1.kernel,mean.B.q3.kernel,mean.q1.kernel,mean.q3.kernel,cox.ABSE,cox.CI.coverage.percent,mean.cIL.cox,mean.cIU.cox,mean.B.q1.cox,mean.B.q3.cox,IQR.simulations.cox,IQR.boot.cox,IQR.simulations.kernel,IQR.boot.kernel
8,0.422629479,0.39499189,0.5,35261.85742,0.083710252,0.845456334,0.033455823,-0.077370521,-0.10500811,0.345456334,-15.47410412,-21.00162195,69.09126684,0.018009093,1242156316,0.241149245,93,0.189822976,0.87317779,0.319070586,0.528085216,0.338431037,0.443017803,0.093850798,83,0.251999431,0.622166222,0.339117991,0.46171034,0.104586766,0.122592349,0.177906491,0.20901463
8.2,0.421589971,0.393667682,0.5,34828.58859,0.083738421,0.845456334,0.033455823,-0.078410029,-0.106332318,0.345456334,-15.68200575,-21.26646351,69.09126684,0.018293379,1211818649,0.241656072,93.2,0.187684927,0.88002235,0.318016448,0.529396885,0.33701618,0.441520901,0.093909938,82.6,0.250712567,0.621125899,0.337777262,0.460423873,0.104504721,0.122646611,0.176985034,0.211380437
8.4,0.421648593,0.392371904,0.5,34653.79547,0.083759013,0.845456334,0.033455823,-0.078351407,-0.107628096,0.345456334,-15.67028136,-21.52561923,69.09126684,0.01857379,1199685739,0.242308059,93.5,0.185756341,0.887245304,0.317107965,0.531017297,0.335381169,0.43999521,0.093968122,82.3,0.249490469,0.62010762,0.336475895,0.459168999,0.104614041,0.122693104,0.174471698,0.213909331
8.6,0.42105718,0.391101319,0.5,34935.29482,0.083794329,0.845456334,0.033455823,-0.07894282,-0.108898681,0.345456334,-15.78856391,-21.77973626,69.09126684,0.018854536,1219255452,0.247504269,93.8,0.184602037,0.889232915,0.316578532,0.532267385,0.334261943,0.438719617,0.094022491,82,0.248288416,0.61910613,0.335201207,0.457942935,0.104457674,0.122741729,0.177015358,0.215688853
8.8,0.421049064,0.389856005,0.5,35852.67205,0.083835121,0.845456334,0.033455823,-0.078950936,-0.110143995,0.345456334,-15.79018726,-22.02879902,69.09126684,0.019133865,1284129843,0.245811451,93.6,0.185462755,0.887564248,0.317139174,0.532616559,0.333003693,0.43782422,0.094075365,81.8,0.247084417,0.61811532,0.333964332,0.45673371,0.104820526,0.122769378,0.186331693,0.215477385
9,0.421360071,0.388667986,0.5,36954.33053,0.083844554,0.845456334,0.033455823,-0.078639929,-0.111332014,0.345456334,-15.72798581,-22.26640272,69.09126684,0.019398298,1364258162,0.249967232,93.2,0.184213725,0.901101692,0.316463256,0.536063008,0.331783361,0.436199116,0.094124904,81.6,0.245961567,0.617168415,0.332779126,0.455568001,0.104415755,0.122788875,0.196635278,0.219599752
9.2,0.426302789,0.387495725,0.5,38464.89786,0.083872497,0.845456334,0.033455823,-0.073697211,-0.112504275,0.345456334,-14.73944223,-22.50085502,69.09126684,0.019665108,1478070169,0.257677486,92.9,0.178875526,0.94340769,0.314705209,0.54568531,0.330864665,0.435098757,0.094173455,81.3,0.244857684,0.61623911,0.331614237,0.454442761,0.104234092,0.122828525,0.211404932,0.230980101
9.4,0.431247979,0.386333026,0.5,40283.78044,0.083891297,0.845456334,0.033455823,-0.068752021,-0.113666974,0.345456334,-13.75040425,-22.7333948,69.09126684,0.019930962,1621161680,0.271201681,93.3,0.170716286,1.016350346,0.31221784,0.564326793,0.329794559,0.433880409,0.094219648,81.2,0.243755629,0.615312755,0.330471576,0.453287954,0.10408585,0.122816378,0.234643923,0.252108954
9.6,0.4388341,0.385214557,0.5,42539.00003,0.083912445,0.845456334,0.033455823,-0.0611659,-0.114785443,0.345456334,-12.23317998,-22.95708853,69.09126684,0.020189765,1807758654,0.310565298,92.9,0.155441752,1.168081297,0.308253602,0.597506137,0.328460776,0.432916967,0.094264756,81,0.242709554,0.614436445,0.329366294,0.452192748,0.104456191,0.122826454,0.2704609,0.289252535
9.8,0.452471142,0.384101431,0.5,45743.491,0.083899259,0.845456334,0.033455823,-0.047528858,-0.115898569,0.345456334,-9.505771624,-23.17971379,69.09126684,0.020444081,2090376522,0.397670835,94.8,0.128553213,1.489449566,0.299843397,0.655362662,0.327177101,0.431230749,0.094310803,80.8,0.241674282,0.613554123,0.328253913,0.451110897,0.104053648,0.122856983,0.304258432,0.355519265
10,0.480303115,0.383010187,0.5,51261.51107,0.083927341,0.845456334,0.033455823,-0.019696885,-0.116989813,0.345456334,-3.939376916,-23.39796253,69.09126684,0.020702668,2625101712,0.640213322,97.6,0.059537801,2.289554609,0.276100777,0.739163608,0.32604878,0.430258832,0.094353787,80.4,0.240644239,0.612696473,0.327150106,0.450059575,0.104210053,0.122909469,0.361316942,0.463062831
