"theta","tau"
0.117,0.0500262397952707
0.118,0.050395922906965
0.119,0.0507647571137353
0.12,0.0511327462676823
0.121,0.0514998941866311
0.122,0.0518662046548366
0.123,0.0522316814235833
0.124,0.0525963282118695
0.125,0.0529601487069584
0.126,0.0533231465649981
0.127,0.0536853254115606
0.128,0.0540466888421953
0.129,0.0544072404229485
0.13,0.0547669836908611
0.131,0.0551259221544722
0.132,0.0554840592943
0.133,0.0558413985632598
0.134,0.056197943387164
0.135,0.0565536971651062
0.136,0.0569086632698967
0.137,0.0572628450484762
0.138,0.0576162458222917
0.139,0.057968868887678
0.14,0.0583207175162501
0.141,0.0586717949552398
0.142,0.0590221044278447
0.143,0.0593716491335954
0.144,0.0597204322486498
0.145,0.0600684569261425
0.146,0.0604157262964922
0.147,0.060762243467698
0.148,0.0611080115256462
0.149,0.061453033534403
0.15,0.0617973125364815
0.151,0.0621408515531492
0.152,0.0624836535846542
0.153,0.0628257216105359
0.154,0.063167058589837
0.155,0.0635076674613924
0.156,0.063847551144053
0.157,0.0641867125369311
0.158,0.064525154519635
0.159,0.0648628799525017
0.16,0.0651998916768077
0.161,0.0655361925150153
0.162,0.0658717852709687
0.163,0.0662066727300958
0.164,0.0665408576596445
0.165,0.0668743428088554
0.166,0.0672071309091793
0.167,0.0675392246744613
0.168,0.0678706268011364
0.169,0.0682013399684109
0.17,0.0685313668384619
0.171,0.0688607100565877
0.172,0.069189372251417
0.173,0.0695173560350604
0.174,0.0698446640032895
0.175,0.0701712987356977
0.176,0.0704972627958744
0.177,0.0708225587315638
0.178,0.0711471890748125
0.179,0.0714711563421382
0.18,0.0717944630346787
0.181,0.072117111638339
0.182,0.0724391046239523
0.183,0.0727604444474039
0.184,0.0730811335497981
0.185,0.0734011743575831
0.186,0.0737205692826972
0.187,0.0740393207226999
0.188,0.0743574310609185
0.189,0.074674902666561
0.19,0.0749917378948739
0.191,0.0753079390872387
0.192,0.0756235085713248
0.193,0.0759384486612005
0.194,0.07625276165746
0.195,0.0765664498473475
0.196,0.076879515504868
0.197,0.0771919608909153
0.198,0.0775037882533818
0.199,0.0778149998272699
0.2,0.0781255978348128
0.201,0.0784355844855851
0.202,0.0787449619766001
0.203,0.0790537324924365
0.204,0.079361898205331
0.205,0.0796694612752891
0.206,0.079976423850189
0.207,0.0802827880658867
0.208,0.0805885560463038
0.209,0.0808937299035533
0.21,0.0811983117380084
0.211,0.081502303638425
0.212,0.0818057076820153
0.213,0.0821085259345713
0.214,0.0824107604505215
0.215,0.0827124132730566
0.216,0.0830134864342087
0.217,0.083313981954932
0.218,0.0836139018452089
0.219,0.0839132481041247
0.22,0.0842120227199645
0.221,0.0845102276702914
0.222,0.0848078649220367
0.223,0.0851049364315832
0.224,0.085401444144841
0.225,0.0856973899973426
0.226,0.0859927759143151
0.227,0.0862876038107618
0.228,0.0865818755915404
0.229,0.0868755931514453
0.23,0.0871687583752823
0.231,0.0874613731379443
0.232,0.0877534393044948
0.233,0.0880449587302254
0.234,0.0883359332607498
0.235,0.0886263647320633
0.236,0.0889162549706266
0.237,0.0892056057934205
0.238,0.0894944190080382
0.239,0.0897826964127373
0.24,0.0900704397965226
0.241,0.0903576509392012
0.242,0.0906443316114638
0.243,0.0909304835749438
0.244,0.0912161085822882
0.245,0.0915012083772178
0.246,0.0917857846945953
0.247,0.0920698392604939
0.248,0.0923533737922582
0.249,0.0926363899985607
0.25,0.0929188895794741
0.251,0.0932008742265302
0.252,0.0934823456227765
0.253,0.0937633054428453
0.254,0.0940437553530011
0.255,0.0943236970112182
0.256,0.0946031320672196
0.257,0.0948820621625495
0.258,0.0951604889306257
0.259,0.0954384139967979
0.26,0.0957158389784003
0.261,0.0959927654848114
0.262,0.0962691951175154
0.263,0.0965451294701416
0.264,0.096820570128533
0.265,0.097095518670792
0.266,0.0973699766673382
0.267,0.0976439456809626
0.268,0.0979174272668715
0.269,0.0981904229727473
0.27,0.0984629343387962
0.271,0.0987349628977965
0.272,0.099006510175156
0.273,0.0992775776889547
0.274,0.0995481669499987
0.275,0.0998182794618661
0.276,0.100087916720963
0.277,0.100357080216556
0.278,0.100625771430842
0.279,0.10089399183897
0.28,0.101161742909112
0.281,0.101429026102493
0.282,0.101695842873445
0.283,0.101962194669446
0.284,0.102228082931176
0.285,0.102493509092548
0.286,0.102758474580766
0.287,0.103022980816355
0.288,0.10328702921322
0.289,0.103550621178672
0.29,0.103813758113487
0.291,0.10407644141194
0.292,0.104338672461845
0.293,0.104600452644602
0.294,0.104861783335237
0.295,0.105122665902444
0.296,0.105383101708619
0.297,0.105643092109909
0.298,0.105902638456248
0.299,0.106161742091396
0.3,0.106420404352976
0.301,0.106678626572521
0.302,0.106936410075505
0.303,0.107193756181385
0.304,0.107450666203633
0.305,0.107707141449785
0.306,0.107963183221469
0.307,0.108218792814441
0.308,0.108473971518629
0.309,0.108728720618164
0.31,0.10898304139142
0.311,0.109236935111047
0.312,0.109490403044001
0.313,0.109743446451593
0.314,0.109996066589512
0.315,0.110248264707865
0.316,0.110500042051207
0.317,0.110751399858581
0.318,0.111002339363549
0.319,0.111252861794222
0.32,0.1115029683733
0.321,0.111752660318101
0.322,0.112001938840588
0.323,0.112250805147418
0.324,0.112499260439956
0.325,0.112747305914315
0.326,0.11299494276139
0.327,0.113242172166887
0.328,0.11348899531135
0.329,0.113735413370203
0.33,0.11398142751376
0.331,0.114227038907285
0.332,0.114472248710995
0.333,0.114717058080104
0.334,0.114961468164851
0.335,0.115205480110525
0.336,0.115449095057503
0.337,0.115692314141266
0.338,0.11593513849244
0.339,0.116177569236822
0.34,0.116419607495398
0.341,0.116661254384389
0.342,0.11690251101526
0.343,0.117143378494765
0.344,0.11738385792496
0.345,0.117623950403243
0.346,0.117863657022367
0.347,0.118102978870481
0.348,0.118341917031149
0.349,0.118580472583377
0.35,0.118818646601639
0.351,0.119056440155906
0.352,0.119293854311668
0.353,0.119530890129966
0.354,0.119767548667407
0.355,0.1200038309762
0.356,0.120239738104177
0.357,0.120475271094812
0.358,0.120710430987258
0.359,0.120945218816359
0.36,0.121179635612686
0.361,0.121413682402551
0.362,0.121647360208036
0.363,0.121880670047017
0.364,0.122113612933189
0.365,0.122346189876084
0.366,0.122578401881098
0.367,0.122810249949514
0.368,0.123041735078528
0.369,0.123272858261266
0.37,0.123503620486807
0.371,0.123734022740213
0.372,0.123964066002542
0.373,0.124193751250874
0.374,0.124423079458338
0.375,0.124652051594125
0.376,0.124880668623513
0.377,0.125108931507893
0.378,0.125336841204784
0.379,0.125564398667858
0.38,0.125791604846958
0.381,0.126018460688125
0.382,0.126244967133611
0.383,0.126471125121905
0.384,0.126696935587752
0.385,0.12692239946217
0.386,0.127147517672478
0.387,0.12737229114231
0.388,0.127596720791634
0.389,0.127820807536777
0.39,0.12804455229044
0.391,0.128267955961719
0.392,0.128491019456127
0.393,0.128713743675609
0.394,0.12893612951856
0.395,0.129158177879854
0.396,0.12937988965085
0.397,0.129601265719419
0.398,0.129822306969959
0.399,0.130043014283413
0.4,0.130263388537291
0.401,0.130483430605689
0.402,0.130703141359296
0.403,0.130922521665426
0.404,0.131141572388029
0.405,0.131360294387709
0.406,0.131578688521742
0.407,0.131796755644092
0.408,0.132014496605434
0.409,0.132231912253162
0.41,0.132449003431415
0.411,0.132665770981092
0.412,0.132882215739861
0.413,0.133098338542186
0.414,0.13331414021934
0.415,0.13352962159942
0.416,0.133744783507363
0.417,0.133959626764969
0.418,0.134174152190905
0.419,0.134388360600735
0.42,0.134602252806924
0.421,0.134815829618863
0.422,0.13502909184288
0.423,0.135242040282254
0.424,0.135454675737237
0.425,0.135666999005063
0.426,0.135879010879967
0.427,0.1360907121532
0.428,0.136302103613043
0.429,0.136513186044822
0.43,0.136723960230926
0.431,0.136934426950815
0.432,0.137144586981045
0.433,0.137354441095272
0.434,0.137563990064274
0.435,0.137773234655964
0.436,0.137982175635402
0.437,0.13819081376481
0.438,0.138399149803591
0.439,0.138607184508332
0.44,0.138814918632833
0.441,0.139022352928109
0.442,0.139229488142409
0.443,0.139436325021228
0.444,0.139642864307323
0.445,0.139849106740724
0.446,0.14005505305875
0.447,0.140260703996018
0.448,0.140466060284463
0.449,0.140671122653346
0.45,0.140875891829268
0.451,0.141080368536187
0.452,0.141284553495424
0.453,0.141488447425682
0.454,0.141692051043056
0.455,0.141895365061048
0.456,0.142098390190577
0.457,0.142301127139991
0.458,0.142503576615086
0.459,0.142705739319108
0.46,0.142907615952776
0.461,0.143109207214286
0.462,0.143310513799329
0.463,0.1435115364011
0.464,0.14371227571031
0.465,0.1439127324152
0.466,0.14411290720155
0.467,0.144312800752695
0.468,0.144512413749533
0.469,0.144711746870538
0.47,0.144910800791772
0.471,0.145109576186897
0.472,0.145308073727184
0.473,0.145506294081527
0.474,0.145704237916455
0.475,0.14590190589614
0.476,0.146099298682409
0.477,0.14629641693476
0.478,0.146493261310364
0.479,0.146689832464085
0.48,0.146886131048487
0.481,0.147082157713845
0.482,0.147277913108152
0.483,0.147473397877139
0.484,0.147668612664276
0.485,0.147863558110791
0.486,0.148058234855671
0.487,0.148252643535685
0.488,0.14844678478538
0.489,0.148640659237104
0.49,0.148834267521008
0.491,0.149027610265061
0.492,0.149220688095056
0.493,0.149413501634627
0.494,0.149606051505251
0.495,0.14979833832626
0.496,0.149990362714858
0.497,0.15018212528612
0.498,0.150373626653011
0.499,0.150564867426391
0.5,0.150755848215023
0.501,0.150946569625589
0.502,0.151137032262695
0.503,0.15132723672888
0.504,0.151517183624629
0.505,0.151706873548378
0.506,0.151896307096528
0.507,0.15208548486345
